"genreId";"eventTypeId";"name"
"10402";"tmdbFilm";"Music"
"10749";"tmdbFilm";"Romance"
"10751";"tmdbFilm";"Family"
"10752";"tmdbFilm";"War"
"10770";"tmdbFilm";"TV-Movie"
"12";"tmdbFilm";"Adventure"
"14";"tmdbFilm";"Fantasy"
"16";"tmdbFilm";"Animation"
"18";"tmdbFilm";"Drama"
"27";"tmdbFilm";"Horror"
"28";"tmdbFilm";"Action"
"35";"tmdbFilm";"Comedy"
"36";"tmdbFilm";"History"
"37";"tmdbFilm";"Western"
"53";"tmdbFilm";"Thriller"
"80";"tmdbFilm";"Crime"
"878";"tmdbFilm";"Science-Fiction"
"9648";"tmdbFilm";"Mystery"
"99";"tmdbFilm";"Documentary"
"KnvZfZ7v7l1";"KZFzniwnSyZfZ7v7na";"Theatre"
"KnvZfZ7v7l6";"KZFzniwnSyZfZ7v7na";"Performance-Art"
"KnvZfZ7v7lA";"KZFzniwnSyZfZ7v7na";"Music"
"KnvZfZ7v7lk";"KZFzniwnSyZfZ7v7na";"Opera"
"KnvZfZ7v7lv";"KZFzniwnSyZfZ7v7na";"Magic-&-Illusion"
"KnvZfZ7v7nE";"KZFzniwnSyZfZ7v7na";"Cultural"
"KnvZfZ7v7nI";"KZFzniwnSyZfZ7v7na";"Dance"
"KnvZfZ7v7nn";"KZFzniwnSyZfZ7v7na";"Fashion"
"KnvZfZ7vAe1";"KZFzniwnSyZfZ7v7na";"Comedy"
"KnvZfZ7vAeA";"KZFzniwnSyZfZ7v7nJ";"Rock"
"KnvZfZ7vAee";"KZFzniwnSyZfZ7v7nJ";"R&B"
"KnvZfZ7vAeJ";"KZFzniwnSyZfZ7v7nJ";"Classical"
"KnvZfZ7vAev";"KZFzniwnSyZfZ7v7nJ";"Pop"
"KnvZfZ7vAv6";"KZFzniwnSyZfZ7v7nJ";"Country"
"KnvZfZ7vAva";"KZFzniwnSyZfZ7v7nJ";"Folk"
"KnvZfZ7vAve";"KZFzniwnSyZfZ7v7nJ";"Ballads-Romantic"
"KnvZfZ7vAvF";"KZFzniwnSyZfZ7v7nJ";"Dance-Electronic"
"KnvZfZ7vAvv";"KZFzniwnSyZfZ7v7nJ";"Alternative"
"KZazBEonSMnZfZ7v6dt";"KZFzniwnSyZfZ7v7nJ";"Alternative-Rock"
